tournament,stage,matchday,player,player_id,team,team_id,kills,kill_share,raw_kill_share,team_average_placement,raw_team_average_placement,games,team_games,team_total_kills,lobby_kills,individual_lobby_placement,team_lobby_placements,team_lobby_kills,matchday_placement,player_matchday_rank,lobby_1_kills,lobby_2_kills,lobby_3_kills,individual_lobby_1_placement,individual_lobby_2_placement,individual_lobby_3_placement,team_lobby_1_placement,team_lobby_2_placement,team_lobby_3_placement,team_lobby_1_kills,team_lobby_2_kills,team_lobby_3_kills,ign,player_class,total_placement_points,total_kill_points,team_bonus_points,team_total_points,average_kills_per_game,raw_average_kills_per_game,total_damage,average_damage_per_game,average_accuracy
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,PANIKA,w7l460tngtU3MfSjy7L4,MAIN CHARACTERS OG,tm_mgol0xhrx,8,15.1,15.09433962264151,12.67,12.666666666666666,3,3,53,"{""1"":2,""2"":1,""3"":5}","{""1"":10,""2"":18,""3"":10}","{""1"":10,""2"":18,""3"":10}","{""1"":21,""2"":11,""3"":21}",11,54,2,1,5,10,18,10,10,18,10,21,11,21,メՄՆ・PANIKMC,Class 1,0,106,-40,66,2.67,2.6666666666666665,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,DONRUSKI,e0oR3lJ4tSBFjhWWp96W,FAZE ICONS,62lUXdIP47pjzO65aTZm,8,32,32,12.67,12.666666666666666,3,3,25,"{""1"":4,""2"":3,""3"":1}","{""1"":15,""2"":5,""3"":18}","{""1"":15,""2"":5,""3"":18}","{""1"":14,""2"":8,""3"":3}",15,55,4,3,1,15,5,18,15,5,18,14,8,3,ҒZ MERC,Class 1,5,50,-10,45,2.67,2.6666666666666665,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,BENNY,UeOSx2Z4aI7DuWJCrD2e,ZL ESPORTS,1rBWZvmbgkMHIlWnkyfe,8,21.6,21.62162162162162,7.33,7.333333333333333,3,3,37,"{""1"":2,""2"":5,""3"":1}","{""1"":1,""2"":7,""3"":14}","{""1"":1,""2"":7,""3"":14}","{""1"":17,""2"":13,""3"":7}",18,56,2,5,1,1,7,14,1,7,14,17,13,7,JESUS. ZL,Class 1,25,74,-100,-1,2.67,2.6666666666666665,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,LOLA,sZ7ewEW2enuGnmsghNYY,KYZON ESPORTS,tm_yvpteelv4,7,10.3,10.294117647058822,5.67,5.666666666666667,1,3,68,"{""3"":7}","{""3"":3}","{""1"":12,""2"":2,""3"":3}","{""1"":25,""2"":15,""3"":28}",4,57,,,7,,,3,12,2,3,25,15,28,ҞZ • BALDOG,Class 1,35,136,0,171,7,7,3144,3144,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,STALKER,fLonAcil1vpsdmMvcMTT,VORTEX ONE,tm_4oss9tizq,7,8.4,8.433734939759036,9,9,1,3,83,"{""3"":7}","{""3"":1}","{""1"":20,""2"":6,""3"":1}","{""1"":12,""2"":36,""3"":35}",3,58,,,7,,,1,20,6,1,12,36,35,STALKER.VRX,Class 1,25,166,0,191,7,7,3080,3080,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,VOID,3WyN1vbWR1bis81ApvQz,KYZON ESPORTS,tm_yvpteelv4,7,10.3,10.294117647058822,5.67,5.666666666666667,2,3,68,"{""1"":3,""2"":4}","{""1"":12,""2"":2}","{""1"":12,""2"":2,""3"":3}","{""1"":25,""2"":15,""3"":28}",4,59,3,4,,12,2,,12,2,3,25,15,28,ҞZ・GOATৢঢ,Class 1,35,136,0,171,3.5,3.5,3669,1835,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,SWAYZE,qefoLXaT9gaO2ycKQocy,Narcissist,ukMz1QObm2RORWQOa9dc,7,15.2,15.217391304347828,15,15,3,3,46,"{""1"":5,""2"":1,""3"":1}","{""1"":11,""2"":15,""3"":19}","{""1"":11,""2"":15,""3"":19}","{""1"":28,""2"":14,""3"":4}",10,60,5,1,1,11,15,19,11,15,19,28,14,4,口ISWAYZETT,Class 1,0,92,-10,82,2.33,2.3333333333333335,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,KENOBI,pELJbpvr5LDNa3FC6EzA,WICKED ENTITIES,tm_n96zqds0m,6,19.4,19.35483870967742,15,15,2,3,31,"{""2"":5,""3"":1}","{""2"":19,""3"":13}","{""1"":13,""2"":19,""3"":13}","{""1"":14,""2"":13,""3"":4}",16,61,,5,1,,19,13,13,19,13,14,13,4,ƐИ丨ALBOZ,Class 1,0,62,-40,22,3,3,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,DEVIL,m7o92IDT4MdtLg9OHc1Y,ZL ESPORTS,1rBWZvmbgkMHIlWnkyfe,6,16.2,16.216216216216218,7.33,7.333333333333333,3,3,37,"{""1"":5,""2"":1,""3"":0}","{""1"":1,""2"":7,""3"":14}","{""1"":1,""2"":7,""3"":14}","{""1"":17,""2"":13,""3"":7}",18,62,5,1,0,1,7,14,1,7,14,17,13,7,AZRAEL.ZL,Class 1,25,74,-100,-1,2,2,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,YUSUF,qKQQ85V7nwqlL2KDXoGl,ENVY 7 ONE,tm_ubz3oae5j,5,10.9,10.869565217391305,13.33,13.333333333333334,3,3,46,"{""1"":3,""2"":1,""3"":1}","{""1"":17,""2"":16,""3"":7}","{""1"":17,""2"":16,""3"":7}","{""1"":17,""2"":13,""3"":16}",9,63,3,1,1,17,16,7,17,16,7,17,13,16,YUSUF.SVN¹,Class 1,0,92,0,92,1.67,1.6666666666666667,3681,1227,24.8
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,MIDEX,B1Kj8xeiYMbthFGnQbEJ,Kingpins,hVWczQAJ8Eqvzrp97sHO,5,29.4,29.411764705882355,5.67,5.666666666666667,2,3,17,"{""2"":1,""3"":4}","{""2"":9,""3"":5}","{""1"":3,""2"":9,""3"":5}","{""1"":6,""2"":4,""3"":7}",14,64,,1,4,,9,5,3,9,5,6,4,7,MŁD£X++・K几,Class 1,20,34,0,54,2.5,2.5,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,ALLFATHER,eZr86KcPlEoSTarsNbR0,SCARRED LEGION,aOLRuUnFkOKgu9xAtqHy,5,10.9,10.869565217391305,10,10,3,3,46,"{""1"":0,""2"":2,""3"":3}","{""1"":16,""2"":8,""3"":6}","{""1"":16,""2"":8,""3"":6}","{""1"":12,""2"":26,""3"":8}",13,65,0,2,3,16,8,6,16,8,6,12,26,8,^メ,Class 1,0,92,-30,62,1.67,1.6666666666666667,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,MOVEMENT,zbgasCEzQ3XBmq26KwCr,DEVELOPERS,tm_w0a02yn8h,5,15.6,15.625,14.67,14.666666666666666,3,3,32,"{""1"":1,""2"":2,""3"":2}","{""1"":19,""2"":13,""3"":12}","{""1"":19,""2"":13,""3"":12}","{""1"":7,""2"":18,""3"":7}",12,66,1,2,2,19,13,12,19,13,12,7,18,7,MOVEMENT..DXV,Class 1,0,64,0,64,1.67,1.6666666666666667,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,MR P,kl2hoTAKjBPgfOMMvkKH,DEVELOPERS,tm_w0a02yn8h,5,15.6,15.625,14.67,14.666666666666666,3,3,32,"{""1"":0,""2"":3,""3"":2}","{""1"":19,""2"":13,""3"":12}","{""1"":19,""2"":13,""3"":12}","{""1"":7,""2"":18,""3"":7}",12,67,0,3,2,19,13,12,19,13,12,7,18,7,MR P.DXV,Class 1,0,64,0,64,1.67,1.6666666666666667,0,0,0
MAJOR GAMING LEAGUE TIER 1,Tier 1,4,DANIEL,2hoGdFkIX9KrsMSafUIB,FEARLESS ULTIMATE,QXr3HX0HM3Rf35A0UKUN,5,55.6,55.55555555555556,15.67,15.666666666666666,3,3,9,"{""1"":0,""2"":5,""3"":0}","{""1"":18,""2"":14,""3"":15}","{""1"":18,""2"":14,""3"":15}","{""1"":0,""2"":6,""3"":3}",19,68,0,5,0,18,14,15,18,14,15,0,6,3,ƑW・X TA C,Class 1,0,18,-30,-12,1.67,1.6666666666666667,0,0,0
